Last Updated,02/10/18,.,WILEY CONFIDENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley Online Library Journals List  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Code used by Wiley ,ISSN,eSSN,Title,Price,2017 Usage,Cost per use,FTE Band (if applicable),Journal DOI,Wiley  Online Library URL,General Subject Category,Primary Subject Area,Media,External notes PRICING,POD availability,Online Open,Included in Database Model,Full Collection,STM Collection,SSH Collection,Medicine & Nursing Collection,Not in any Standard Collections,R4L Collection,INASP Collection,Collection Start year/Start year for Current Sub,Collection Start Volume/Start Vol for current Sub,Current Year Volume,Current Year Issue,Backfile Start Year,Backfile Start Volume,Backfile Start Issue,Backfile End Year,Backfile End Volume,Backfile End Issue,Society Name,2018 Impact Factor,
CED,0307-6938,1365-2230,CLINICAL & EXPERIMENTAL DERMATOLOGY,3904,357,$10.94,,10.1111/(ISSN)1365-2230,https://onlinelibrary.wiley.com/journal/13652230,Medicine,Dermatology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,22,44,8,1976,VOL. 1,1,1996,21,6,British Association of Dermatologists,1.589,
CEI,0009-9104,1365-2249,CLINICAL & EXPERIMENTAL IMMUNOLOGY,4201,427,$9.84,,10.1111/(ISSN)1365-2249,https://onlinelibrary.wiley.com/journal/13652249,Medicine,Immunology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,107,195-198,12,,,,,,,British Society for Immunology,3.148,
CEM,0886-9383,1099-128X,JOURNAL OF CHEMOMETRICS,3758,117,$32.12,,10.1002/(ISSN)1099-128X,https://onlinelibrary.wiley.com/journal/1099128X,Chemistry,Lab Automation & Miniaturization,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,10,33,12,1987,VOL. 1,1,1995,9,6,,1.873,
CEN,0300-0664,1365-2265,CLINICAL ENDOCRINOLOGY,4002,726,$5.51,,10.1111/(ISSN)1365-2265,https://onlinelibrary.wiley.com/journal/13652265,Medicine,Endocrinology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,46,90-91,12,1972,VOL. 1,1,1996,45,6,Clinical Endocrinology Trust (CET),3.327,
CEN3,,1759-1961,CLINICAL AND EXPERIMENTAL NEUROIMMUNOLOGY,1242,19,$65.37,FTE-Small,10.1111/(ISSN)1759-1961,https://onlinelibrary.wiley.com/journal/17591961,Medicine,Neurology,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2010,1,10,5,,,,,,,Japanese Society for Neuroimmunology,,
CEO,1442-6404,1442-9071,CLINICAL & EXPERIMENTAL OPHTHALMOLOGY,1163,9,$129.22,,10.1111/(ISSN)1442-9071,https://onlinelibrary.wiley.com/journal/14429071,Medicine,Ophthalmology & Optometry,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,25,47,9,1973,VOL. 1,1,1996,24,4,Royal Australian and New Zealand College of Ophthalmologists,3.000,
CEP,0305-1870,1440-1681,CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY,3685,259,$14.23,,10.1111/(ISSN)1440-1681,https://onlinelibrary.wiley.com/journal/14401681,Medicine,Pharmacology & Pharmaceutical Medicine,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,24,46,12,1974,VOL. 1,1,1996,23,12,High Blood Pressure Research Council of Australia,2.010,
CFP2,,2573-8615,FINANCIAL PLANNING REVIEW,#N/A,0,#N/A,,10.1002/(ISSN)2573-8615,https://onlinelibrary.wiley.com/journal/25738615,"Business, Economics, Finance & Accounting",Personal Finance,Online,E-only title,,Yes,Yes,,,,,Not in any Standard Collection,,,2018,1,2,4,,,,,,,Certified Financial Planning Board of Standards Inc,,
CFS,1356-7500,1365-2206,CHILD & FAMILY SOCIAL WORK,1283,90,$14.26,,10.1111/(ISSN)1365-2206,https://onlinelibrary.wiley.com/journal/13652206,Social & Behavioral Sciences,Social Work,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,Medicine & Nursing Collection,,,INASP Collection,1997,2,24,4,1996,VOL. 1,1,1996,1,4,,1.064,
CGA,0914-3505,1741-4520,CONGENITAL ANOMALIES,871,46,$18.93,,10.1111/(ISSN)1741-4520,https://onlinelibrary.wiley.com/journal/17414520,Life Sciences,Genetics,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,37,59,6,1984,VOL. 24,1,1996,36,4,Japanese Teratology Society,1.537,
CGE,0009-9163,1399-0004,CLINICAL GENETICS,2389,675,$3.54,,10.1111/(ISSN)1399-0004,https://onlinelibrary.wiley.com/journal/13990004,Life Sciences,Medical Genetics,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,51,95-96,12,1970,VOL. 1,1,1996,50,6,,3.326,
CGF,0167-7055,1467-8659,COMPUTER GRAPHICS FORUM,1324,216,$6.13,,10.1111/(ISSN)1467-8659,https://onlinelibrary.wiley.com/journal/14678659,Computer Science  & Information Technology,Visualization & Computer Graphics,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,16,38,8,1982,VOL. 1,1,1996,14,5,Eurographics - European Association for Computer Graphics,1.611,
CHD,1747-079X,1747-0803,CONGENITAL HEART DISEASE,869,106,$8.20,,10.1111/(ISSN)1747-0803,https://onlinelibrary.wiley.com/journal/17470803,Medicine,Cardiovascular Disease,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2006,1,14,6,,,,,,,,1.278,
CHIR,0899-0042,1520-636X,CHIRALITY,4761,81,$58.78,,10.1002/(ISSN)1520-636X,https://onlinelibrary.wiley.com/journal/1520636X,Chemistry,Organic Chemistry,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,8,31,12,1989,VOL. 1,1,1995,7,8,,2.025,
CHSO,0951-0605,1099-0860,CHILDREN & SOCIETY,1088,44,$24.73,,10.1111/(ISSN)1099-0860,https://onlinelibrary.wiley.com/journal/10990860,Psychology,Childhood,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,11,33,6,1987,VOL. 1,1,1996,10,4,National Children's Bureau,0.802,
CICO,1535-6841,1540-6040,CITY & COMMUNITY,554,302,$1.83,,10.1111/(ISSN)1540-6040,https://onlinelibrary.wiley.com/journal/15406040,Social & Behavioral Sciences,Urban Sociology,Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2002,1,18,4,,,,,,,American Sociological Association,0.541,
CID,1523-0899,1708-8208,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,504,32,$15.75,,10.1111/(ISSN)1708-8208,https://onlinelibrary.wiley.com/journal/17088208,"Nursing, Dentistry & Healthcare",Implant Dentistry,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1999,1,21,6,,,,,,,,2.939,
CIND,0009-3068,2047-6329,CHEMISTRY & INDUSTRY,1266,17,$74.47,,10.1002/(ISSN)2047-6329,https://onlinelibrary.wiley.com/journal/20476329,Chemistry,Industrial Chemistry,Print & Online,,,No,Yes,,,,,Not in any Standard Collection,,,2011,75,83,10,,,,,,,Society of Chemical Industry,0.182,
CISO,0893-0465,1548-744X,CITY & SOCIETY,110,191,$0.58,,10.1111/(ISSN)1548-744X,https://anthrosource.onlinelibrary.wiley.com/journal/1548744X,Social & Behavioral Sciences,General & Introductory Anthropology,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,9,31,3,,,,,,,American Anthropological Association,,
CJAG,0008-3976,1744-7976,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS/REVUE CANADIENNE D'AGROECONOMIE,424,121,$3.50,,10.1111/(ISSN)1744-7976,https://onlinelibrary.wiley.com/journal/17447976,"Agriculture, Aquaculture & Food Science",Agricultural Economics & Resource Management,Online,E-only title,Yes,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,45,67,4,1952,VOL. 1,1,1996,44,3,Canadian Agricultural Economics Society/la Societe canadienne d'agroeconomie,1.052,
CJAS,0825-0383,1936-4490,CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCESREVUE CANADIENNE DES SCIENCES DE L'ADMINISTRATION,496,26,$19.08,,10.1002/(ISSN)1936-4490,https://onlinelibrary.wiley.com/journal/19364490,"Business, Economics, Finance & Accounting",Management,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,14,36,4,1984,VOL. 1,1,1996,13,4,Administrative Sciences Association of Canada,0.268,
CJCE,0008-4034,1939-019X,THE CANADIAN JOURNAL OF CHEMICAL ENGINEERING,2201,282,$7.80,,10.1002/(ISSN)1939-019X,https://onlinelibrary.wiley.com/journal/1939019X,Chemistry,General & Introductory Chemical Engineering,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,75,97,12,1963,VOL. 43,1,1996,79,6,Canadian Society for Chemical Engineering,1.356,
CJS,0319-5724,1708-945X,THE CANADIAN JOURNAL OF STATISTICS/LA REVUE CANADIENNE DE STATISTIQUE,514,42,$12.24,,10.1002/(ISSN)1708-945X,https://onlinelibrary.wiley.com/journal/1708945X,Mathematics & Statistics,General & Introductory Statistics,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,24,47,4,1973,VOL. 1,1,1996,23,4,Statistical Society of Canada,0.662,
CLA,0748-3007,1096-0031,CLADISTICS,1182,324,$3.65,,10.1111/(ISSN)1096-0031,https://onlinelibrary.wiley.com/journal/10960031,Life Sciences,Evolutionary Biology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,13,35,6,1984,VOL. 1,1,1996,12,4,Willi Hennig Society,4.309,
CLR,0905-7161,1600-0501,CLINICAL ORAL IMPLANTS RESEARCH,1696,126,$13.46,,10.1111/(ISSN)1600-0501,https://onlinelibrary.wiley.com/journal/16000501,"Nursing, Dentistry & Healthcare",Implant Dentistry,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,8,30,12,1990,VOL. 1,1,1996,7,6,European Association for Osseointegration (EAO),3.624,
CM,1949-3584,1949-3592,CYTOSKELETON,9043,1,"$9,043.00",,10.1002/(ISSN)1949-3592,https://onlinelibrary.wiley.com/journal/19493592,Life Sciences,Cell & Molecular Biology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,33,76,12,1980,VOL. 1,1,1995,32,4,,2.173,
CMI,1462-5814,1462-5822,CELLULAR MICROBIOLOGY,2841,1165,$2.44,,10.1111/(ISSN)1462-5822,https://onlinelibrary.wiley.com/journal/14625822,Life Sciences,Microbiology & Virology,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1999,1,21,12,,,,,,,,4.554,
CMM4,,2577-7408,COMPUTATIONAL AND MATHEMATICAL METHODS,#N/A,#N/A,#N/A,,TBC,TBC,TBC,TBC,Online,2019 New start - Opt in,,TBC,Yes,Full Collection,STM Collection,,,,R4L Collection ,INASP Collection,,,,,,,,,,,,,
CMR,1546-6086,1552-5023,CONCEPTS IN MAGNETIC RESONANCE:PART A,2018,22,$91.73,,10.1002/(ISSN)1552-5023,https://onlinelibrary.wiley.com/journal/15525023,Chemistry,Analytical Chemistry,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1996,8,48,6,1989,VOL. 1,1,1995,7,4,,0.649,
CMRB,1552-5031,1552-504X,CONCEPTS IN MAGNETIC RESONANCE PART B: MAGNETIC RESONANCE ENGINEERING,#N/A,29,#N/A,,10.1002/(ISSN)1552-504X,https://onlinelibrary.wiley.com/journal/1552504X,Chemistry,Analytical Chemistry,Online,Part title - E only,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2003,16,49,4,,,,,,,,0.387,
CNCR,    -,1097-0142,CANCER,#N/A,3877,#N/A,,10.1002/(ISSN)1097-0142,https://onlinelibrary.wiley.com/journal/10970142,Medicine,Oncology & Radiotherapy,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,79,125,24,,,,,,,American Cancer Society,6.537,
CNCY,1934-662X,1934-6638,CANCER CYTOPATHOLOGY,#N/A,69,#N/A,,10.1002/(ISSN)1934-6638,https://onlinelibrary.wiley.com/journal/19346638,Medicine,Oncology & Radiotherapy,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,117,127,12,,,,,,,American Cancer Society,3.818,
CNE,0021-9967,1096-9861,THE JOURNAL OF COMPARATIVE NEUROLOGY,35866,2741,$13.09,,10.1002/(ISSN)1096-9861,https://onlinelibrary.wiley.com/journal/10969861,Life Sciences,Neurosystems,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,364,527,18,1891,VOL. 1,1,1995,363,4,,3.266,
CNM,2040-7939,2040-7947,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING,4628,8,$578.50,,10.1002/(ISSN)2040-7947,https://onlinelibrary.wiley.com/journal/20407947,Physical Sciences & Engineering,Computational / Numerical Methods,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,12,35,12,1985,VOL. 1,1,1995,11,12,,2.192,
CNR2,,2573-8348,CANCER REPORTS,#N/A,0,#N/A,,10.1002/(ISSN)2573-8348,https://onlinelibrary.wiley.com/journal/25738348,Medicine,Oncology & Radiotherapy,Online,E-only title,,Yes,Yes,,,,,Not in any Standard Collection,,,2018,1,2,6,,,,,,,,,
CNT,0008-8994,1600-0498,CENTAURUS,986,47,$20.98,,10.1111/(ISSN)1600-0498,https://onlinelibrary.wiley.com/journal/16000498,Humanities,History of Science & Medicine,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,39,61,4,1950,VOL. 1,1,1996,38,4,,0.280,
COA,1749-4478,1749-4486,CLINICAL OTOLARYNGOLOGY,2878,31,$92.84,,10.1111/(ISSN)1749-4486,https://onlinelibrary.wiley.com/journal/17494486,Medicine,"Otolaryngology (Ear, Nose & Throat)",Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,22,44,6,1976,VOL. 1,1,1996,21,6,British Association of Otolaryngologists and The Oto-Rhino-Laryngology Research Society,2.523,
COB,1758-8103,1758-8111,CLINICAL OBESITY,786,84,$9.36,FTE-Small,10.1111/(ISSN)1758-8111,https://onlinelibrary.wiley.com/journal/17588111,Medicine,Obesity,Online,2019 E-Only Title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2011,1,9,6,,,,,,,World Obesity,,
COBI,0888-8892,1523-1739,CONSERVATION BIOLOGY,1333,2028,$0.66,,10.1111/(ISSN)1523-1739,https://onlinelibrary.wiley.com/journal/15231739,Life Sciences,Conservation Science,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,11,33,6,1987,1,1,1996,10,6,Society for Conservation Biology,4.267,
COD,0105-1873,1600-0536,CONTACT DERMATITIS,1655,158,$10.47,,10.1111/(ISSN)1600-0536,https://onlinelibrary.wiley.com/journal/16000536,Medicine,Dermatology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,36,80-81,12,1975,VOL. 1,1,1996,35,6,European Society of Contact Dermatology (ESCD),4.335,
CODI,1462-8910,1463-1318,COLORECTAL DISEASE,2026,395,$5.13,,10.1111/(ISSN)1463-1318,https://onlinelibrary.wiley.com/journal/14631318,Medicine,Surgery & Surgical Specialties,Online,2019 E-Only Title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1999,1,21,12,,,,,,,Association of Coloproctology of Great Britain and Ireland,2.778,
COEP,1074-3529,1465-7287,CONTEMPORARY ECONOMIC POLICY,351,237,$1.48,,10.1111/(ISSN)1465-7287,https://onlinelibrary.wiley.com/journal/14657287,"Business, Economics, Finance & Accounting",Public Economics,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,15,37,4,1982,VOL. 1,1,1996,14,4,Western Economic Association International,0.602,
COGS,0364-0213,1551-6709,COGNITIVE SCIENCE - A MULTIDISCIPLINARY JOURNAL,#N/A,453,#N/A,,10.1111/(ISSN)1551-6709,https://onlinelibrary.wiley.com/journal/15516709,Psychology,Cognitive Science,Online,E-only title,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1996,21,43,12,,,,,,,Cognitive Science Society,2.917,
COIN,0824-7935,1467-8640,COMPUTATIONAL INTELLIGENCE,1669,16,$104.31,,10.1111/(ISSN)1467-8640,https://onlinelibrary.wiley.com/journal/14678640,Computer Science  & Information Technology,General & Introductory Computer Science,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,13,35,4,1985,VOL. 1,1,1996,12,4,,0.964,
COL,0361-2317,1520-6378,COLOR RESEARCH & APPLICATION,2572,99,$25.98,,10.1002/(ISSN)1520-6378,https://onlinelibrary.wiley.com/journal/15206378,Chemistry,Industrial Chemistry,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,21,44,6,1977,VOL. 2,1,1995,20,6,Inter Society Color Council (ISCC),0.798,
CONS,1351-0487,1467-8675,CONSTELLATIONS,1605,286,$5.61,,10.1111/(ISSN)1467-8675,https://onlinelibrary.wiley.com/journal/14678675,Social & Behavioral Sciences,General & Introductory Political Science,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,3,26,4,1994,VOL. 1,1,1996,3,2,,,
CORG,0964-8410,1467-8683,CORPORATE GOVERNANCE,3739,49,$76.31,,10.1111/(ISSN)1467-8683,https://onlinelibrary.wiley.com/journal/14678683,"Business, Economics, Finance & Accounting",Corporate Governance,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,5,27,6,1993,VOL. 1,1,1996,4,4,,3.571,
COTE,1472-3581,1478-4408,COLORATION TECHNOLOGY,883,1,$883.00,,10.1111/(ISSN)1478-4408,https://onlinelibrary.wiley.com/journal/14784408,Chemistry,"Paints, Pigments, Coatings, Dyes",Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,113,135,6,1884,VOL. 1,1,1996,112,12,Society of Dyers and Colourists,1.107,
COTO,1078-8719,,COUNSELING TODAY,204,#N/A,#N/A,,No  DOI,,Psychology,Psychotherapy & Counseling,Print,,,No,No,,,,,Not in any Standard Collection,,,,,61,12,,,,,,,American Counseling Association (ACA),,
CP,1328-4207,1742-9552,CLINICAL PSYCHOLOGIST,273,6,$45.50,,10.1111/(ISSN)1742-9552,https://onlinelibrary.wiley.com/journal/17429552,Psychology,General Psychology,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,Medicine & Nursing Collection,,,INASP Collection,1996,1,23,3,,,,,,,Australian Psychological Society,1.037,
CPA,0010-3640,1097-0312,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,6194,165,$37.54,,10.1002/(ISSN)1097-0312,https://onlinelibrary.wiley.com/journal/10970312,Mathematics & Statistics,Applied Mathematics,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,49,72,12,1948,VOL. 1,1,1995,48,12,Courant Institute of Mathematics,3.793,
CPD3,,2160-7648,CLINICAL PHARMACOLOGY IN DRUG DEVELOPMENT ,#N/A,#N/A,#N/A,,10.1002/(ISSN)2160-7648,https://onlinelibrary.wiley.com/journal/21607648,Medicine,Clinical Pharmacology & Therapeutics,Online,E-only title. 2013 late take over. Free title on a bundle.,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2012,1,8,9,,,,,,,American College of Clinical Pharmacology,1.375,
CPE,1532-0626,1532-0634,CONCURRENCY AND COMPUTATION: PRACTICE AND EXPERIENCE,6733,1,"$6,733.00",,10.1002/(ISSN)1532-0634,https://onlinelibrary.wiley.com/journal/15320634,Computer Science  & Information Technology,Programming & Software Development,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,8,31,24,1989,VOL. 1,1,1995,7,8,,1.133,
CPF,1475-0961,1475-097X,CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,2922,5,$584.40,,10.1111/(ISSN)1475-097X,https://onlinelibrary.wiley.com/journal/1475097X,Medicine,Physiology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,17,39,6,1981,VOL. 1,1,1996,16,6,Scandinavian Society of Clinical Physiology and Nuclear Medicine,2.300,
CPP,1063-3995,1099-0879,CLINICAL PSYCHOLOGY AND PSYCHOTHERAPY(AN INTERNATIONAL JOURNAL OF THEORY & PRACTICE),1598,82,$19.49,,10.1002/(ISSN)1099-0879,https://onlinelibrary.wiley.com/journal/10990879,Psychology,Clinical Psychology,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,Medicine & Nursing Collection,,,INASP Collection,1997,1,26,6,,,,,,,,1.933,
CPRT,0885-8365,1949-3207,CORPORATE PHILANTHROPY REPORT,4638,3,"$1,546.00",,10.1002/(ISSN)1949-3207,https://onlinelibrary.wiley.com/journal/19493207,"Business, Economics, Finance & Accounting",Business & Management Special Topics,Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2009,24,34,12,,,,,,,,,
CPSP,0969-5893,1468-2850,CLINICAL PSYCHOLOGY: SCIENCE AND PRACTICE,648,127,$5.10,,10.1111/(ISSN)1468-2850,https://onlinelibrary.wiley.com/journal/14682850,Psychology,Clinical Psychology,Online,E-only title,Yes,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,4,26,4,1994,VOL. 1,1,1996,3,4,Society of Clinical Psychology (APA Division 12),2.380,
CPT,0009-9236,1532-6535,CLINICAL PHARMACOLOGY & THERAPEUTICS,1415,895,$1.58,,10.1002/(ISSN)1532-6535,https://ascpt.onlinelibrary.wiley.com/journal/15326535,Medicine,Clinical Pharmacology & Therapeutics,Print & Online,,,Yes,Yes,,,,,Not in any Standard Collection,,,1997,61,105-106,12,1960,,,1996,,,American Society for Clinical Pharmacology and Therapeutics,7.266,
CPU,1527-8395,1556-7567,THE BROWN UNIVERSITY CHILD & ADOLESCENT PSYCHOPHARMACOLOGY UPDATE,2291,6,$381.83,,10.1002/(ISSN)1556-7567,https://onlinelibrary.wiley.com/journal/15567567,Medicine,Psychopharmacology,Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2005,7,21,12,1978,Vol. 1,,2000,,,,,
CRF3,,1541-4337,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,#N/A,869,#N/A,,10.1111/(ISSN)1541-4337,https://onlinelibrary.wiley.com/journal/15414337,"Agriculture, Aquaculture & Food Science",General & Introductory Food Science & Technology,Online,Free title on a bundle,,No,No,Full Collection,STM Collection,,,,R4L Collection,INASP Collection,2006,5,18,6,,,,,,,Institute of Food Technologists,,
CRIM,0011-1384,1745-9125,CRIMINOLOGY,#N/A,302,#N/A,,10.1111/(ISSN)1745-9125,https://onlinelibrary.wiley.com/journal/17459125,Law & Criminology,Criminology,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,35,57,4,1963,VOL. 1,1,1996,34,4,American Society of Criminology,5.019,
CRIQ,0011-1562,1467-8705,CRITICAL QUARTERLY,702,78,$9.00,,10.1111/(ISSN)1467-8705,https://onlinelibrary.wiley.com/journal/14678705,Humanities,General Literature,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,39,61,4,1959,VOL. 1,1,1996,38,4,,,
CRJ,1752-6981,1752-699X,THE CLINICAL RESPIRATORY JOURNAL,647,90,$7.19,,10.1111/(ISSN)1752-699X,https://onlinelibrary.wiley.com/journal/1752699X,Medicine,Respiratory Medicine,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2007,1,13,12,,,,,,,,2.356,
CROS,0011-1953,1939-3881,CROSSCURRENTS,247,17,$14.53,,10.1111/(ISSN)1939-3881,https://onlinelibrary.wiley.com/journal/19393881,Humanities,Contemporary Religious Thought,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2008,58,69,4,,,,,,,Association for Religion and Intellectual Life,,
CRQ,1536-5581,1541-1508,CONFLICT RESOLUTION QUARTERLY,535,57,$9.39,,10.1002/(ISSN)1541-1508,https://onlinelibrary.wiley.com/journal/15411508,Law & Criminology,Negotiation & Conflict Resolution,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,20,36,4,1983,VOL. 1,1,2002,20,2,Association for Conflict Resolution (ACR),,
CSR,1535-3958,1535-3966,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTALMANAGEMENT,2177,0,#DIV/0!,,10.1002/(ISSN)1535-3966,https://onlinelibrary.wiley.com/journal/15353966,Social & Behavioral Sciences,General & Introductory Development Studies,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,4,26,6,,,,,,,ERP Environment,2.852,
CTA,0098-9886,1097-007X,INTERNATIONAL JOURNAL OF CIRCUIT THEORY ANDAPPLICATIONS,9039,33,$273.91,,10.1002/(ISSN)1097-007X,https://onlinelibrary.wiley.com/journal/1097007X,Physical Sciences & Engineering,General & Introductory Electrical & Electronics Engineering,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,24,47,12,1973,VOL. 1,1,1995,23,6,,1.571,
CTR,0902-0063,1399-0012,CLINICAL TRANSPLANTATION,2170,383,$5.67,,10.1111/(ISSN)1399-0012,https://onlinelibrary.wiley.com/journal/13990012,Medicine,Transplantation,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1999,13,33,12,1987,Vol. 1,,1997,,,,1.865,
CUAG,2153-9553,2153-9561,"CULTURE, AGRICULTURE, FOOD AND ENVIRONMENT",109,34,$3.21,,10.1111/(ISSN)2153-9561,https://anthrosource.onlinelibrary.wiley.com/journal/21539561,Social & Behavioral Sciences,Anthropology Special Topics,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,19,41,2,1977,1,1,1996,18,3,American Anthropological Association,,
CUP,0303-6987,1600-0560,JOURNAL OF CUTANEOUS PATHOLOGY,2069,555,$3.73,,10.1111/(ISSN)1600-0560,https://onlinelibrary.wiley.com/journal/16000560,Medicine,Dermatology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,24,46,12,1974,VOL. 1,1,1996,23,6,American Society of Dermatopathology,1.409,
